,LOC,V1,V2,V3
0,제주,591058,585437.0,439106.0
1,서울,8335298,8257768.0,6076429.0
2,부산,2879900,2851362.0,2140773.0
3,대구,2018604,1995783.0,1405163.0
4,광주,1261981,1250568.0,968947.0
5,인천,2574233,2550081.0,1915266.0
6,대전,1245473,1233376.0,909102.0
7,경기,11837174,11723258.0,8707827.0
8,세종,300568,296859.0,211095.0
9,경남,2882823,2853755.0,2145652.0
10,경북,2293225,2269593.0,1727188.0
11,전남,1655633,1641348.0,1365245.0
12,전북,1593950,1581091.0,1285767.0
13,충남,1902008,1884584.0,1479736.0
14,충북,1430877,1418444.0,1108508.0
15,강원,1352085,1340870.0,1065143.0
16,울산,968160,958920.0,720521.0
